CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,2011-01-18 10:01:00,325,1,77183.6,1,1,4,114,Others
12347.0,2011-12-07 15:52:00,1,175,3981.15,4,4,4,444,Best Customers
12348.0,2011-09-25 13:13:00,74,27,1437.24,2,2,3,223,Others
12349.0,2011-11-21 09:51:00,18,60,1089.15,3,3,3,333,Others
12350.0,2011-02-02 16:01:00,309,16,294.4,1,2,2,122,Others
12352.0,2011-11-03 14:37:00,35,66,1130.94,3,3,3,333,Others
12353.0,2011-05-19 17:47:00,203,2,29.300000000000004,1,1,1,111,Churned Customers
12354.0,2011-04-21 13:11:00,231,44,845.25,1,3,3,133,Others
12355.0,2011-05-09 13:49:00,213,11,414.0,1,1,2,112,Others
12356.0,2011-04-08 12:33:00,245,50,1911.4,1,3,4,134,Others
12357.0,2011-11-06 16:07:00,32,116,5195.87,3,4,4,344,Others
12358.0,2011-12-08 10:26:00,1,15,892.26,4,1,3,413,Others
12359.0,2011-10-13 12:47:00,57,173,3224.13,2,4,4,244,Others
12360.0,2011-10-18 15:22:00,51,118,1866.56,2,4,4,244,Others
12361.0,2011-02-25 13:51:00,286,9,174.9,1,1,1,111,Churned Customers
12362.0,2011-12-06 15:40:00,2,229,4166.38,4,4,4,444,Best Customers
12363.0,2011-08-22 10:18:00,109,20,504.3,2,2,2,222,Others
12364.0,2011-12-02 10:22:00,7,80,1186.2,4,3,3,433,Others
12365.0,2011-02-21 13:51:00,290,20,307.94,1,2,2,122,Others
12367.0,2011-12-05 16:48:00,3,10,150.9,4,1,1,411,Others
12370.0,2011-10-19 14:51:00,50,161,3228.39,3,4,4,344,Others
12371.0,2011-10-11 10:43:00,59,60,1441.16,2,3,4,234,Others
12372.0,2011-09-29 12:12:00,71,47,1116.54,2,3,3,233,Others
12373.0,2011-02-01 13:10:00,310,13,324.6,1,1,2,112,Others
12374.0,2011-11-14 15:37:00,24,29,531.73,3,2,2,322,Others
12375.0,2011-11-29 10:36:00,10,14,345.70000000000005,4,1,2,412,Others
12377.0,2011-01-28 15:45:00,314,74,1472.52,1,3,4,134,Others
12378.0,2011-08-02 10:34:00,129,198,3569.92,2,4,4,244,Others
12379.0,2011-09-19 10:09:00,81,38,777.24,2,3,3,233,Others
12380.0,2011-11-18 11:27:00,21,96,2195.21,3,4,4,344,Others
12381.0,2011-12-05 12:44:00,4,75,1276.8600000000001,4,3,3,433,Others
12383.0,2011-06-08 08:02:00,184,83,1382.96,1,3,3,133,Others
12384.0,2011-11-11 08:39:00,28,17,286.32,3,2,2,322,Others
12386.0,2011-01-06 12:37:00,337,10,401.9,1,1,2,112,Others
12388.0,2011-11-24 12:30:00,15,99,2713.76,4,4,4,444,Best Customers
12390.0,2011-09-21 09:33:00,79,27,431.14,2,2,2,222,Others
12391.0,2011-11-18 12:07:00,21,91,433.99,3,3,2,332,Others
12393.0,2011-09-28 15:41:00,71,64,1582.6000000000001,2,3,4,234,Others
12394.0,2011-10-07 08:08:00,63,24,1060.58,2,2,3,223,Others
12395.0,2011-11-20 15:21:00,18,133,2394.53,3,4,4,344,Others
12397.0,2011-11-04 09:52:00,35,111,1757.45,3,4,4,344,Others
12398.0,2011-10-25 10:27:00,45,83,1387.96,3,3,3,333,Others
12399.0,2011-08-12 13:15:00,118,55,1033.65,2,3,3,233,Others
12401.0,2011-02-09 13:50:00,302,2,32.85,1,1,1,111,Churned Customers
12402.0,2011-01-20 13:49:00,322,10,195.6,1,1,1,111,Churned Customers
12403.0,2011-10-21 10:51:00,49,4,391.7,3,1,2,312,Others
12405.0,2011-07-14 08:52:00,148,49,1229.19,1,3,3,133,Others
12406.0,2011-11-17 19:22:00,21,102,3235.9,3,4,4,344,Others
